musique intrumentale ou avec parole,support écouté,station radio,genre musicale,période musicale,langue écouté,type de parole,frequence ecouté artiste émergent,tempo,fréquence en travaillant,fréquence en sport,fréquence en cuisine,fréquence en transport,fréquence en passant le temps,fréquence écoute mensuel,fréquence écoute journalier,genre,age,environnement,situation professionnel
avec des paroles,radio,nan,pop;no preferences,aucune préférence,francophone,peu importe,2,90.0,2,2,2,2,2,1,2,homme,40.0,campagne,je préfère ne pas répondre
avec des paroles,plateforme de streaming;radio,chérie fm,rock;pop,années 2000;années 90;années 70 - 90,francophone,engagées,1,120.0,1,5,3,4,3,1,2,femme,55.0,campagne,salarié
avec des paroles,streaming,nan,pop;electro,années 2020;années 2000;années 70 - 90,francophone;anglophone,peu importe,2,150.0,2,1,3,5,3,1,3,homme,22.0,ville,étudiant
avec des paroles,streaming,nan,rock;rap;jazz;electro,aucune préférence,francophone;anglophone,engagées,3,,5,5,4,5,2,1,1,homme,22.0,ville,étudiant
les deux,plateforme de streaming;radio,rtl;radio bonheur,jazz;pop,années 2010;années 2000;années 90,francophone;anglophone;hispanique,engagées,4,150.0,5,5,5,5,5,1,2,homme,25.0,ville,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,nan,rap;jazz;pop;electro,aucune préférence,francophone;anglophone;hispanique;allemande;cyrillique;asiatique;brésilienne,engagées,5,,4,3,3,5,4,1,2,je préfère ne pas répondre,18.0,ville,étudiant
les deux,téléchargement des musiques,rire & chanson,rock;jazz;pop;classical music,aucune préférence,francophone;anglophone,peu importe,3,,4,4,4,3,3,2,3,homme,18.0,je préfère ne pas répondre,étudiant
les deux,plateforme de streaming;radio,nrj;skyrock;nostalgie;fun radio;alouette;mouv,rock;rap;pop;electro,années 2010;années 2000,francophone;anglophone,peu importe,2,120.0,5,3,1,5,2,1,1,homme,27.0,ville,salarié
les deux,plateforme de streaming;radio,nrj;alouette,no preferences,années 2010;années 2000;années 70 - 90,francophone;anglophone,peu importe,1,,4,5,1,4,1,1,1,femme,26.0,campagne,salarié
les deux,streaming,rtl;nrj;nostalgie;fun radio,pop;electro,années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone;asiatique,poétiques,2,120.0,4,3,4,5,4,1,1,femme,29.21212121212121,ville,sans emploi
avec des paroles,streaming,alouette,rap;pop;folk,2010,francophone,poétiques,3,150.0,1,1,5,4,3,1,2,homme,25.0,campagne,salarié
les deux,plateforme de streaming;radio,hit west,rock,années 2020;années 2010,anglophone,peu importe,3,150.0,1,5,5,5,5,1,2,homme,18.0,banlieue,étudiant
